"Season","Half","Conference","Division","Team_ID","Team_Name","Playoffs","GP","W","L","OL","T","PTS","PTS_Pct","GF","GA","SRS","SOS","RPt_Pct","ROW","RW","RgRec","RgPt_Pct"
2010,NA,"Western","Pacific","SJS","San Jose Sharks",TRUE,"82","51","20","11",NA,"113",".689","264","215","0.65","0.05",".616","44",NA,"43-20-19",".640"
2010,NA,"Western","Pacific","PHX","Phoenix Coyotes",TRUE,"82","50","25","7",NA,"107",".652","225","202","0.34","0.06",".561","36",NA,"31-25-26",".537"
2010,NA,"Western","Pacific","LAK","Los Angeles Kings",TRUE,"82","46","27","9",NA,"101",".616","241","219","0.32","0.05",".549","36",NA,"32-27-23",".530"
2010,NA,"Western","Pacific","ANA","Anaheim Ducks",FALSE,"82","39","32","11",NA,"89",".543","238","251","-0.07","0.09",".494","34",NA,"31-32-19",".494"
2010,NA,"Western","Pacific","DAL","Dallas Stars",FALSE,"82","37","31","14",NA,"88",".537","237","254","-0.12","0.09",".470","30",NA,"28-31-23",".482"
2011,NA,"Eastern","Atlantic","PHI","Philadelphia Flyers",TRUE,"82","47","23","12",NA,"106",".646","259","223","0.40","-0.04",".598","44",NA,"41-23-18",".610"
2011,NA,"Eastern","Atlantic","PIT","Pittsburgh Penguins",TRUE,"82","49","25","8",NA,"106",".646","238","199","0.43","-0.05",".555","39",NA,"34-25-23",".555"
2011,NA,"Eastern","Atlantic","NYR","New York Rangers",TRUE,"82","44","33","5",NA,"93",".567","233","198","0.37","-0.06",".500","35",NA,"32-33-17",".494"
2011,NA,"Eastern","Atlantic","NJD","New Jersey Devils",FALSE,"82","38","39","5",NA,"81",".494","174","209","-0.41","0.02",".457","35",NA,"28-39-15",".433"
2011,NA,"Eastern","Atlantic","NYI","New York Islanders",FALSE,"82","30","39","13",NA,"73",".445","229","264","-0.42","0.01",".378","26",NA,"19-39-24",".378"
2011,NA,"Eastern","Northeast","BOS","Boston Bruins",TRUE,"82","46","25","11",NA,"103",".628","246","195","0.56","-0.07",".585","44",NA,"43-25-14",".610"
2011,NA,"Eastern","Northeast","MTL","Montreal Canadiens",TRUE,"82","44","30","8",NA,"96",".585","216","209","0.05","-0.04",".537","41",NA,"36-30-16",".537"
2011,NA,"Eastern","Northeast","BUF","Buffalo Sabres",TRUE,"82","43","29","10",NA,"96",".585","245","229","0.15","-0.04",".500","38",NA,"28-29-25",".494"
2011,NA,"Eastern","Northeast","TOR","Toronto Maple Leafs",FALSE,"82","37","34","11",NA,"85",".518","218","251","-0.41","0.00",".457","32",NA,"30-34-18",".476"
2011,NA,"Eastern","Northeast","OTS","Ottawa Senators",FALSE,"82","32","40","10",NA,"74",".451","192","250","-0.69","0.02",".409","30",NA,"28-40-14",".427"
2011,NA,"Eastern","Northeast","OTT","Ottawa Senators",FALSE,"82","32","40","10",NA,"74",".451","192","250","-0.69","0.02",".409","30",NA,"28-40-14",".427"
2011,NA,"Eastern","Southeast","WSH","Washington Capitals",TRUE,"82","48","23","11",NA,"107",".652","224","197","0.27","-0.06",".591","43",NA,"34-23-25",".567"
2011,NA,"Eastern","Southeast","TBL","Tampa Bay Lightning",TRUE,"82","46","25","11",NA,"103",".628","247","240","0.04","-0.05",".561","40",NA,"32-25-25",".543"
2011,NA,"Eastern","Southeast","CAR","Carolina Hurricanes",FALSE,"82","40","31","11",NA,"91",".555","236","239","-0.08","-0.04",".488","35",NA,"29-31-22",".488"
2011,NA,"Eastern","Southeast","ATL","Atlanta Thrashers",FALSE,"82","34","36","12",NA,"80",".488","223","269","-0.57","-0.01",".427","29",NA,"19-36-27",".396"
2011,NA,"Eastern","Southeast","FLA","Florida Panthers",FALSE,"82","30","40","12",NA,"72",".439","195","229","-0.43","-0.01",".384","26",NA,"20-40-22",".378"
2011,NA,"Western","Central","DET","Detroit Red Wings",TRUE,"82","47","25","10",NA,"104",".634","261","241","0.27","0.03",".573","43",NA,"34-25-23",".555"
2011,NA,"Western","Central","NSH","Nashville Predators",TRUE,"82","44","27","11",NA,"99",".604","219","194","0.31","0.01",".524","38",NA,"36-27-19",".555"
2011,NA,"Western","Central","CHI","Chicago Blackhawks",TRUE,"82","44","29","9",NA,"97",".591","258","225","0.41","0.01",".530","38",NA,"34-29-19",".530"
2011,NA,"Western","Central","STL","St. Louis Blues",FALSE,"82","38","33","11",NA,"87",".530","240","234","0.11","0.04",".476","34",NA,"31-33-18",".488"
2011,NA,"Western","Central","CBJ","Columbus Blue Jackets",FALSE,"82","34","35","13",NA,"81",".494","215","258","-0.45","0.08",".433","29",NA,"24-35-23",".433"
2011,NA,"Western","Northwest","VAN","Vancouver Canucks",TRUE,"82","54","19","9",NA,"117",".713","262","185","0.87","-0.07",".665","50",NA,"46-19-17",".665"
2011,NA,"Western","Northwest","CGY","Calgary Flames",FALSE,"82","41","29","12",NA,"94",".573","250","237","0.14","-0.02",".488","32",NA,"30-29-23",".506"
2011,NA,"Western","Northwest","MIN","Minnesota Wild",FALSE,"82","39","35","8",NA,"86",".524","206","233","-0.30","0.03",".488","36",NA,"31-35-16",".476"
2011,NA,"Western","Northwest","COL","Colorado Avalanche",FALSE,"82","30","44","8",NA,"68",".415","227","288","-0.70","0.05",".335","24",NA,"18-44-20",".341"
2011,NA,"Western","Northwest","EDM","Edmonton Oilers",FALSE,"82","25","45","12",NA,"62",".378","193","269","-0.87","0.06",".348","23",NA,"21-45-16",".354"
2011,NA,"Western","Pacific","SJS","San Jose Sharks",TRUE,"82","48","25","9",NA,"105",".640","248","213","0.44","0.02",".585","43",NA,"38-25-19",".579"
2011,NA,"Western","Pacific","ANA","Anaheim Ducks",TRUE,"82","47","30","5",NA,"99",".604","239","235","0.09","0.05",".561","43",NA,"34-30-18",".524"
2011,NA,"Western","Pacific","PHX","Phoenix Coyotes",TRUE,"82","43","26","13",NA,"99",".604","231","226","0.11","0.05",".530","38",NA,"36-26-20",".561"
2011,NA,"Western","Pacific","LAK","Los Angeles Kings",TRUE,"82","46","30","6",NA,"98",".598","219","198","0.29","0.03",".512","36",NA,"35-30-17",".530"
2011,NA,"Western","Pacific","DAL","Dallas Stars",FALSE,"82","42","29","11",NA,"95",".579","227","233","-0.02","0.05",".524","37",NA,"32-29-21",".518"
2012,NA,"Eastern","Atlantic","NYR","New York Rangers",TRUE,"82","51","24","7",NA,"109",".665","226","187","0.46","-0.02",".628","47",NA,"39-24-19",".591"
2012,NA,"Eastern","Atlantic","PIT","Pittsburgh Penguins",TRUE,"82","51","25","6",NA,"108",".659","282","221","0.71","-0.03",".585","42",NA,"40-25-17",".591"
2012,NA,"Eastern","Atlantic","PHI","Philadelphia Flyers",TRUE,"82","47","26","9",NA,"103",".628","264","232","0.39","0.00",".591","43",NA,"37-26-19",".567"
2012,NA,"Eastern","Atlantic","NJD","New Jersey Devils",TRUE,"82","48","28","6",NA,"102",".622","228","209","0.23","0.00",".537","36",NA,"32-28-22",".524"
2012,NA,"Eastern","Atlantic","NYI","New York Islanders",FALSE,"82","34","37","11",NA,"79",".482","203","255","-0.58","0.05",".396","27",NA,"24-37-21",".421"
2012,NA,"Eastern","Northeast","BOS","Boston Bruins",TRUE,"82","49","29","4",NA,"102",".622","269","202","0.75","-0.07",".561","40",NA,"38-29-15",".555"
2012,NA,"Eastern","Northeast","OTS","Ottawa Senators",TRUE,"82","41","31","10",NA,"92",".561","249","240","0.09","-0.02",".488","35",NA,"30-31-21",".494"
2012,NA,"Eastern","Northeast","OTT","Ottawa Senators",TRUE,"82","41","31","10",NA,"92",".561","249","240","0.09","-0.02",".488","35",NA,"30-31-21",".494"
2012,NA,"Eastern","Northeast","BUF","Buffalo Sabres",FALSE,"82","39","32","11",NA,"89",".543","218","230","-0.15","0.00",".476","32",NA,"27-32-23",".470"
2012,NA,"Eastern","Northeast","TOR","Toronto Maple Leafs",FALSE,"82","35","37","10",NA,"80",".488","231","264","-0.38","0.02",".433","31",NA,"26-37-19",".433"
2012,NA,"Eastern","Northeast","MTL","Montreal Canadiens",FALSE,"82","31","35","16",NA,"78",".476","212","226","-0.17","0.00",".421","26",NA,"24-35-23",".433"
2012,NA,"Eastern","Southeast","FLA","Florida Panthers",TRUE,"82","38","26","18",NA,"94",".573","203","227","-0.33","-0.03",".494","32",NA,"31-26-25",".530"
2012,NA,"Eastern","Southeast","WSH","Washington Capitals",TRUE,"82","42","32","8",NA,"92",".561","222","230","-0.13","-0.03",".512","38",NA,"31-32-19",".494"
2012,NA,"Eastern","Southeast","TBL","Tampa Bay Lightning",FALSE,"82","38","36","8",NA,"84",".512","235","281","-0.57","-0.01",".463","35",NA,"25-36-21",".433"
2012,NA,"Eastern","Southeast","WIN","Winnipeg Jets",FALSE,"82","37","35","10",NA,"84",".512","225","246","-0.30","-0.04",".451","33",NA,"27-35-20",".451"
2012,NA,"Eastern","Southeast","WPG","Winnipeg Jets",FALSE,"82","37","35","10",NA,"84",".512","225","246","-0.30","-0.04",".451","33",NA,"27-35-20",".451"
2012,NA,"Eastern","Southeast","CAR","Carolina Hurricanes",FALSE,"82","33","33","16",NA,"82",".500","213","243","-0.39","-0.02",".433","32",NA,"29-33-20",".476"
2012,NA,"Western","Central","STL","St. Louis Blues",TRUE,"82","49","22","11",NA,"109",".665","210","165","0.54","-0.01",".634","45",NA,"42-22-18",".622"
2012,NA,"Western","Central","NSH","Nashville Predators",TRUE,"82","48","26","8",NA,"104",".634","237","210","0.34","0.01",".585","43",NA,"40-26-16",".585"
2012,NA,"Western","Central","DET","Detroit Red Wings",TRUE,"82","48","28","6",NA,"102",".622","248","203","0.55","0.00",".549","39",NA,"36-28-18",".549"
2012,NA,"Western","Central","CHI","Chicago Blackhawks",TRUE,"82","45","26","11",NA,"101",".616","248","238","0.14","0.02",".549","38",NA,"34-26-22",".549"
2012,NA,"Western","Central","CBJ","Columbus Blue Jackets",FALSE,"82","29","46","7",NA,"65",".396","202","262","-0.65","0.08",".360","25",NA,"23-46-13",".360"
2012,NA,"Western","Northwest","VAN","Vancouver Canucks",TRUE,"82","51","22","9",NA,"111",".677","249","198","0.57","-0.05",".616","43",NA,"36-22-24",".585"
2012,NA,"Western","Northwest","CGY","Calgary Flames",FALSE,"82","37","29","16",NA,"90",".549","202","226","-0.28","0.01",".488","34",NA,"32-29-21",".518"
2012,NA,"Western","Northwest","COL","Colorado Avalanche",FALSE,"82","41","35","6",NA,"88",".537","208","220","-0.13","0.01",".457","32",NA,"25-35-22",".439"
2012,NA,"Western","Northwest","MIN","Minnesota Wild",FALSE,"82","35","36","11",NA,"81",".494","177","226","-0.58","0.02",".415","24",NA,"22-36-24",".415"
2012,NA,"Western","Northwest","EDM","Edmonton Oilers",FALSE,"82","32","40","10",NA,"74",".451","212","239","-0.32","0.01",".402","27",NA,"25-40-17",".409"
2012,NA,"Western","Pacific","PHX","Phoenix Coyotes",TRUE,"82","42","27","13",NA,"97",".591","216","204","0.16","0.01",".537","36",NA,"33-27-22",".537"
2012,NA,"Western","Pacific","SJS","San Jose Sharks",TRUE,"82","43","29","10",NA,"96",".585","228","210","0.22","0.00",".500","34",NA,"31-29-22",".512"
2012,NA,"Western","Pacific","LAK","Los Angeles Kings",TRUE,"82","40","27","15",NA,"95",".579","194","179","0.19","0.01",".506","34",NA,"31-27-24",".524"
2012,NA,"Western","Pacific","DAL","Dallas Stars",FALSE,"82","42","35","5",NA,"89",".543","211","222","-0.10","0.03",".494","35",NA,"31-35-16",".476"
2012,NA,"Western","Pacific","ANA","Anaheim Ducks",FALSE,"82","34","36","12",NA,"80",".488","204","231","-0.29","0.04",".439","31",NA,"29-36-17",".457"
2013,NA,"Eastern","Atlantic","PIT","Pittsburgh Penguins",TRUE,"48","36","12","0",NA,"72",".750","165","119","0.91","-0.05",".719","33",NA,"31-12-5",".698"
2013,NA,"Eastern","Atlantic","NYR","New York Rangers",TRUE,"48","26","18","4",NA,"56",".583","130","112","0.38","0.00",".542","22",NA,"18-18-12",".500"
2013,NA,"Eastern","Atlantic","NYI","New York Islanders",TRUE,"48","24","17","7",NA,"55",".573","139","139","0.03","0.03",".490","20",NA,"18-17-13",".510"
2013,NA,"Eastern","Atlantic","PHI","Philadelphia Flyers",FALSE,"48","23","22","3",NA,"49",".510","133","141","-0.14","0.03",".490","22",NA,"20-22-6",".479"
2013,NA,"Eastern","Atlantic","NJD","New Jersey Devils",FALSE,"48","19","19","10",NA,"48",".500","112","129","-0.31","0.04",".448","17",NA,"16-19-13",".469"
2013,NA,"Eastern","Northeast","MTL","Montreal Canadiens",TRUE,"48","29","14","5",NA,"63",".656","149","126","0.46","-0.02",".594","26",NA,"24-14-10",".604"
2013,NA,"Eastern","Northeast","BOS","Boston Bruins",TRUE,"48","28","14","6",NA,"62",".646","131","109","0.44","-0.02",".573","24",NA,"23-14-11",".594"
2013,NA,"Eastern","Northeast","TOR","Toronto Maple Leafs",TRUE,"48","26","17","5",NA,"57",".594","145","133","0.27","0.02",".594","26",NA,"24-17-7",".573"
2013,NA,"Eastern","Northeast","OTS","Ottawa Senators",TRUE,"48","25","17","6",NA,"56",".583","116","104","0.27","0.02",".521","21",NA,"19-17-12",".521"
2013,NA,"Eastern","Northeast","OTT","Ottawa Senators",TRUE,"48","25","17","6",NA,"56",".583","116","104","0.27","0.02",".521","21",NA,"19-17-12",".521"
2013,NA,"Eastern","Northeast","BUF","Buffalo Sabres",FALSE,"48","21","21","6",NA,"48",".500","125","143","-0.31","0.07",".406","14",NA,"13-21-14",".417"
2013,NA,"Eastern","Southeast","WSH","Washington Capitals",TRUE,"48","27","18","3",NA,"57",".594","149","130","0.31","-0.09",".531","24",NA,"20-18-10",".521"
2013,NA,"Eastern","Southeast","WIN","Winnipeg Jets",FALSE,"48","24","21","3",NA,"51",".531","128","144","-0.36","-0.03",".510","22",NA,"18-21-9",".469"
2013,NA,"Eastern","Southeast","WPG","Winnipeg Jets",FALSE,"48","24","21","3",NA,"51",".531","128","144","-0.36","-0.03",".510","22",NA,"18-21-9",".469"
2013,NA,"Eastern","Southeast","CAR","Carolina Hurricanes",FALSE,"48","19","25","4",NA,"42",".438","128","160","-0.65","0.02",".396","18",NA,"17-25-6",".417"
2013,NA,"Eastern","Southeast","TBL","Tampa Bay Lightning",FALSE,"48","18","26","4",NA,"40",".417","148","150","-0.11","-0.07",".396","17",NA,"16-26-6",".396"
2013,NA,"Eastern","Southeast","FLA","Florida Panthers",FALSE,"48","15","27","6",NA,"36",".375","112","171","-1.18","0.05",".292","12",NA,"11-27-10",".333"
2013,NA,"Western","Central","CHI","Chicago Blackhawks",TRUE,"48","36","7","5",NA,"77",".802","155","102","1.04","-0.07",".740","30",NA,"25-7-16",".688"
2013,NA,"Western","Central","STL","St. Louis Blues",TRUE,"48","29","17","2",NA,"60",".625","129","115","0.31","0.02",".563","24",NA,"20-17-11",".531"
2013,NA,"Western","Central","DET","Detroit Red Wings",TRUE,"48","24","16","8",NA,"56",".583","124","115","0.20","0.01",".531","22",NA,"20-16-12",".542"
2013,NA,"Western","Central","CBJ","Columbus Blue Jackets",FALSE,"48","24","17","7",NA,"55",".573","120","119","0.03","0.01",".490","19",NA,"14-17-17",".469"
2013,NA,"Western","Central","NSH","Nashville Predators",FALSE,"48","16","23","9",NA,"41",".427","111","139","-0.50","0.09",".375","14",NA,"11-23-14",".375"
2013,NA,"Western","Northwest","VAN","Vancouver Canucks",TRUE,"48","26","15","7",NA,"59",".615","127","121","0.07","-0.06",".552","21",NA,"20-15-13",".552"
2013,NA,"Western","Northwest","MIN","Minnesota Wild",TRUE,"48","26","19","3",NA,"55",".573","122","127","-0.16","-0.05",".521","22",NA,"19-19-10",".500"
2013,NA,"Western","Northwest","EDM","Edmonton Oilers",FALSE,"48","19","22","7",NA,"45",".469","125","134","-0.22","-0.03",".406","17",NA,"15-22-11",".427"
2013,NA,"Western","Northwest","CGY","Calgary Flames",FALSE,"48","19","25","4",NA,"42",".438","128","160","-0.65","0.02",".427","19",NA,"17-25-6",".417"
2013,NA,"Western","Northwest","COL","Colorado Avalanche",FALSE,"48","16","25","7",NA,"39",".406","116","152","-0.73","0.02",".333","14",NA,"11-25-12",".354"
2013,NA,"Western","Pacific","ANA","Anaheim Ducks",TRUE,"48","30","12","6",NA,"66",".688","140","118","0.43","-0.02",".594","24",NA,"23-12-13",".615"
2013,NA,"Western","Pacific","LAK","Los Angeles Kings",TRUE,"48","27","16","5",NA,"59",".615","133","118","0.29","-0.02",".583","25",NA,"24-16-8",".583"
2013,NA,"Western","Pacific","SJS","San Jose Sharks",TRUE,"48","25","16","7",NA,"57",".594","124","116","0.17","0.01",".479","17",NA,"17-16-15",".510"
2013,NA,"Western","Pacific","PHX","Phoenix Coyotes",FALSE,"48","21","18","9",NA,"51",".531","125","131","-0.10","0.03",".458","17",NA,"16-18-14",".479"
2013,NA,"Western","Pacific","DAL","Dallas Stars",FALSE,"48","22","22","4",NA,"48",".500","130","142","-0.21","0.05",".448","20",NA,"18-22-8",".458"
2014,NA,"Eastern","Atlantic","BOS","Boston Bruins",TRUE,"82","54","19","9",NA,"117",".713","261","177","0.92","-0.11",".677","51",NA,"47-19-16",".671"
2014,NA,"Eastern","Atlantic","TBL","Tampa Bay Lightning",TRUE,"82","46","27","9",NA,"101",".616","240","215","0.25","-0.06",".549","38",NA,"32-27-23",".530"
2014,NA,"Eastern","Atlantic","MTL","Montreal Canadiens",TRUE,"82","46","28","8",NA,"100",".610","215","204","0.08","-0.05",".543","40",NA,"33-28-21",".530"
2014,NA,"Eastern","Atlantic","DET","Detroit Red Wings",TRUE,"82","39","28","15",NA,"93",".567","222","230","-0.14","-0.04",".500","34",NA,"30-28-24",".512"
2014,NA,"Eastern","Atlantic","OTS","Ottawa Senators",FALSE,"82","37","31","14",NA,"88",".537","236","265","-0.37","-0.02",".451","30",NA,"27-31-24",".476"
2014,NA,"Eastern","Atlantic","OTT","Ottawa Senators",FALSE,"82","37","31","14",NA,"88",".537","236","265","-0.37","-0.02",".451","30",NA,"27-31-24",".476"
2014,NA,"Eastern","Atlantic","TOR","Toronto Maple Leafs",FALSE,"82","38","36","8",NA,"84",".512","231","256","-0.34","-0.04",".433","29",NA,"24-36-22",".427"
2014,NA,"Eastern","Atlantic","FLA","Florida Panthers",FALSE,"82","29","45","8",NA,"66",".402","196","268","-0.87","0.01",".341","21",NA,"21-45-16",".354"
2014,NA,"Eastern","Atlantic","BUF","Buffalo Sabres",FALSE,"82","21","51","10",NA,"52",".317","157","248","-1.09","0.02",".244","14",NA,"11-51-20",".256"
2014,NA,"Eastern","Metropolitan","PIT","Pittsburgh Penguins",TRUE,"82","51","24","7",NA,"109",".665","249","207","0.47","-0.04",".598","44",NA,"40-24-18",".598"
2014,NA,"Eastern","Metropolitan","NYR","New York Rangers",TRUE,"82","45","31","6",NA,"96",".585","218","193","0.26","-0.04",".543","41",NA,"39-31-12",".549"
2014,NA,"Eastern","Metropolitan","PHI","Philadelphia Flyers",TRUE,"82","42","30","10",NA,"94",".573","236","235","-0.01","-0.02",".543","39",NA,"35-30-17",".530"
2014,NA,"Eastern","Metropolitan","CBJ","Columbus Blue Jackets",TRUE,"82","43","32","7",NA,"93",".567","231","216","0.16","-0.03",".506","38",NA,"35-32-15",".518"
2014,NA,"Eastern","Metropolitan","WSH","Washington Capitals",FALSE,"82","38","30","14",NA,"90",".549","235","240","-0.08","-0.02",".470","28",NA,"24-30-28",".463"
2014,NA,"Eastern","Metropolitan","NJD","New Jersey Devils",FALSE,"82","35","29","18",NA,"88",".537","197","208","-0.15","-0.02",".506","35",NA,"26-29-27",".482"
2014,NA,"Eastern","Metropolitan","CAR","Carolina Hurricanes",FALSE,"82","36","35","11",NA,"83",".506","207","230","-0.29","-0.01",".451","34",NA,"30-35-17",".470"
2014,NA,"Eastern","Metropolitan","NYI","New York Islanders",FALSE,"82","34","37","11",NA,"79",".482","225","267","-0.51","0.00",".396","25",NA,"21-37-24",".402"
2014,NA,"Western","Central","COL","Colorado Avalanche",TRUE,"82","52","22","8",NA,"112",".683","250","220","0.40","0.04",".628","47",NA,"37-22-23",".591"
2014,NA,"Western","Central","STL","St. Louis Blues",TRUE,"82","52","23","7",NA,"111",".677","248","191","0.71","0.01",".598","43",NA,"40-23-19",".604"
2014,NA,"Western","Central","CHI","Chicago Blackhawks",TRUE,"82","46","21","15",NA,"107",".652","267","220","0.60","0.02",".573","40",NA,"39-21-22",".610"
2014,NA,"Western","Central","MIN","Minnesota Wild",TRUE,"82","43","27","12",NA,"98",".598","207","206","0.07","0.05",".524","35",NA,"32-27-23",".530"
2014,NA,"Western","Central","DAL","Dallas Stars",TRUE,"82","40","31","11",NA,"91",".555","235","228","0.14","0.05",".494","36",NA,"34-31-17",".518"
2014,NA,"Western","Central","NSH","Nashville Predators",FALSE,"82","38","32","12",NA,"88",".537","216","242","-0.25","0.07",".506","36",NA,"33-32-17",".506"
2014,NA,"Western","Central","WIN","Winnipeg Jets",FALSE,"82","37","35","10",NA,"84",".512","227","237","-0.07","0.06",".439","29",NA,"24-35-23",".433"
2014,NA,"Western","Central","WPG","Winnipeg Jets",FALSE,"82","37","35","10",NA,"84",".512","227","237","-0.07","0.06",".439","29",NA,"24-35-23",".433"
2014,NA,"Western","Pacific","ANA","Anaheim Ducks",TRUE,"82","54","20","8",NA,"116",".707","266","209","0.68","-0.01",".677","51",NA,"44-20-18",".646"
2014,NA,"Western","Pacific","SJS","San Jose Sharks",TRUE,"82","51","22","9",NA,"111",".677","249","200","0.60","0.00",".604","41",NA,"37-22-23",".591"
2014,NA,"Western","Pacific","LAK","Los Angeles Kings",TRUE,"82","46","28","8",NA,"100",".610","206","174","0.40","0.01",".549","38",NA,"34-28-20",".537"
2014,NA,"Western","Pacific","PHX","Phoenix Coyotes",FALSE,"82","37","30","15",NA,"89",".543","216","231","-0.16","0.03",".457","31",NA,"28-30-24",".488"
2014,NA,"Western","Pacific","VAN","Vancouver Canucks",FALSE,"82","36","35","11",NA,"83",".506","196","223","-0.30","0.03",".451","31",NA,"25-35-22",".439"
2014,NA,"Western","Pacific","CGY","Calgary Flames",FALSE,"82","35","40","7",NA,"77",".470","209","241","-0.35","0.04",".402","28",NA,"21-40-21",".384"
2014,NA,"Western","Pacific","EDM","Edmonton Oilers",FALSE,"82","29","44","9",NA,"67",".409","203","270","-0.75","0.07",".348","25",NA,"20-44-18",".354"
2015,NA,"Eastern","Atlantic","MTL","Montreal Canadiens",TRUE,"82","50","22","10",NA,"110",".671","221","189","0.36","-0.03",".598","43",NA,"37-22-23",".591"
2015,NA,"Eastern","Atlantic","TBL","Tampa Bay Lightning",TRUE,"82","50","24","8",NA,"108",".659","262","211","0.57","-0.06",".622","47",NA,"43-24-15",".616"
2015,NA,"Eastern","Atlantic","DET","Detroit Red Wings",TRUE,"82","43","25","14",NA,"100",".610","235","221","0.14","-0.03",".561","39",NA,"32-25-25",".543"
2015,NA,"Eastern","Atlantic","OTS","Ottawa Senators",TRUE,"82","43","26","13",NA,"99",".604","238","215","0.25","-0.04",".530","37",NA,"30-26-26",".524"
2015,NA,"Eastern","Atlantic","OTT","Ottawa Senators",TRUE,"82","43","26","13",NA,"99",".604","238","215","0.25","-0.04",".530","37",NA,"30-26-26",".524"
2015,NA,"Eastern","Atlantic","BOS","Boston Bruins",FALSE,"82","41","27","14",NA,"96",".585","213","211","0.01","-0.01",".537","37",NA,"28-27-27",".506"
2015,NA,"Eastern","Atlantic","FLA","Florida Panthers",FALSE,"82","38","29","15",NA,"91",".555","206","223","-0.23","-0.02",".476","30",NA,"29-29-24",".500"
2015,NA,"Eastern","Atlantic","TOR","Toronto Maple Leafs",FALSE,"82","30","44","8",NA,"68",".415","211","262","-0.61","0.02",".366","25",NA,"22-44-16",".366"
2015,NA,"Eastern","Atlantic","BUF","Buffalo Sabres",FALSE,"82","23","51","8",NA,"54",".329","161","274","-1.33","0.05",".262","15",NA,"14-51-17",".274"
2015,NA,"Eastern","Metropolitan","NYR","New York Rangers",TRUE,"82","53","22","7",NA,"113",".689","252","192","0.69","-0.04",".652","49",NA,"43-22-17",".628"
2015,NA,"Eastern","Metropolitan","NYI","New York Islanders",TRUE,"82","47","28","7",NA,"101",".616","252","230","0.26","-0.01",".567","40",NA,"34-28-20",".537"
2015,NA,"Eastern","Metropolitan","WSH","Washington Capitals",TRUE,"82","45","26","11",NA,"101",".616","242","203","0.44","-0.03",".543","40",NA,"35-26-21",".555"
2015,NA,"Eastern","Metropolitan","PIT","Pittsburgh Penguins",TRUE,"82","43","27","12",NA,"98",".598","221","210","0.12","-0.01",".537","39",NA,"33-27-22",".537"
2015,NA,"Eastern","Metropolitan","CBJ","Columbus Blue Jackets",FALSE,"82","42","35","5",NA,"89",".543","236","250","-0.16","0.01",".470","33",NA,"28-35-19",".457"
2015,NA,"Eastern","Metropolitan","PHI","Philadelphia Flyers",FALSE,"82","33","31","18",NA,"84",".512","215","234","-0.23","0.00",".451","30",NA,"25-31-26",".463"
2015,NA,"Eastern","Metropolitan","NJD","New Jersey Devils",FALSE,"82","32","36","14",NA,"78",".476","181","216","-0.40","0.02",".402","27",NA,"26-36-20",".439"
2015,NA,"Eastern","Metropolitan","CAR","Carolina Hurricanes",FALSE,"82","30","41","11",NA,"71",".433","188","226","-0.44","0.02",".378","25",NA,"24-41-17",".396"
2015,NA,"Western","Central","STL","St. Louis Blues",TRUE,"82","51","24","7",NA,"109",".665","248","201","0.59","0.02",".591","42",NA,"37-24-21",".579"
2015,NA,"Western","Central","NSH","Nashville Predators",TRUE,"82","47","25","10",NA,"104",".634","232","208","0.33","0.03",".573","41",NA,"33-25-24",".549"
2015,NA,"Western","Central","CHI","Chicago Blackhawks",TRUE,"82","48","28","6",NA,"102",".622","229","189","0.51","0.02",".549","39",NA,"36-28-18",".549"
2015,NA,"Western","Central","MIN","Minnesota Wild",TRUE,"82","46","28","8",NA,"100",".610","231","201","0.39","0.03",".555","42",NA,"38-28-16",".561"
2015,NA,"Western","Central","WIN","Winnipeg Jets",TRUE,"82","43","26","13",NA,"99",".604","230","210","0.29","0.04",".518","36",NA,"32-26-24",".537"
2015,NA,"Western","Central","WPG","Winnipeg Jets",TRUE,"82","43","26","13",NA,"99",".604","230","210","0.29","0.04",".518","36",NA,"32-26-24",".537"
2015,NA,"Western","Central","DAL","Dallas Stars",FALSE,"82","41","31","10",NA,"92",".561","261","260","0.06","0.05",".494","37",NA,"33-31-18",".512"
2015,NA,"Western","Central","COL","Colorado Avalanche",FALSE,"82","39","31","12",NA,"90",".549","219","227","-0.04","0.06",".439","29",NA,"27-31-24",".476"
2015,NA,"Western","Pacific","ANA","Anaheim Ducks",TRUE,"82","51","24","7",NA,"109",".665","236","226","0.10","-0.03",".604","43",NA,"35-24-23",".567"
2015,NA,"Western","Pacific","VAN","Vancouver Canucks",TRUE,"82","48","29","5",NA,"101",".616","242","222","0.20","-0.05",".561","42",NA,"36-29-17",".543"
2015,NA,"Western","Pacific","CGY","Calgary Flames",TRUE,"82","45","30","7",NA,"97",".591","241","216","0.26","-0.05",".543","41",NA,"32-30-20",".512"
2015,NA,"Western","Pacific","LAK","Los Angeles Kings",FALSE,"82","40","27","15",NA,"95",".579","220","205","0.16","-0.03",".524","38",NA,"37-27-18",".561"
2015,NA,"Western","Pacific","SJS","San Jose Sharks",FALSE,"82","40","33","9",NA,"89",".543","228","232","-0.08","-0.03",".500","36",NA,"34-33-15",".506"
2015,NA,"Western","Pacific","EDM","Edmonton Oilers",FALSE,"82","24","44","14",NA,"62",".378","198","283","-1.01","0.03",".305","19",NA,"17-44-21",".335"
2015,NA,"Western","Pacific","ARI","Arizona Coyotes",FALSE,"82","24","50","8",NA,"56",".341","170","272","-1.20","0.04",".293","19",NA,"14-50-18",".280"
